,links
0,https://futureoflife.org/open-letter/pause-giant-ai-experiments/
1,https://futureoflife.org/cause-area/artificial-intelligence/
2,https://futureoflife.org/open-letter/ai-principles/
3,https://openai.com/blog/planning-for-agi-and-beyond
4,https://futureoflife.org/ai/faqs-about-flis-open-letter-calling-for-a-pause-on-giant-ai-experiments/
5,https://arxiv.org/abs/2209.10604
6,https://arxiv.org/abs/2206.13353
7,https://arxiv.org/abs/2303.10130
8,https://arxiv.org/abs/2206.05862
9,https://arxiv.org/abs/2209.00626
10,https://arxiv.org/abs/2112.04359
11,https://abcnews.go.com/Technology/openai-ceo-sam-altman-ai-reshape-society-acknowledges/story?id=97897122
12,https://time.com/6246119/demis-hassabis-deepmind-interview/
13,https://arxiv.org/abs/2303.12712
14,"https://www.bbc.com/worklife/article/20230418-ai-anxiety-artificial-intelligence-replace-jobs#:~:text=In%20March%2C%20Goldman%20Sachs%20published,by%20technology%20in%20three%20years."
15,https://www.pwc.com/gx/en/issues/workforce/hopes-and-fears-2022.html
16,https://www.technologyreview.com/2023/02/08/1068068/chatgpt-is-everywhere-heres-where-it-came-from/
17,https://journals.sagepub.com/doi/full/10.1177/23780231221131377
18,https://news.byu.edu/intellect/robots-are-taking-over-jobs-but-not-at-the-rate-you-might-think-says-byu-research
19,https://www.bbc.com/worklife/work-in-progress
20,https://mitsloan.mit.edu/ideas-made-to-matter/report-finds-employees-embrace-ai-when-they-see-its-value
21,https://mitsloan.mit.edu/ideas-made-to-matter/delta-model-how-arnoldo-hax-reprioritized-corporate-strategy
22,https://mitsloan.mit.edu/ideas-made-to-matter/its-time-to-rechart-course-technology-here-are-4-ways-to-start
23,https://mitsloan.mit.edu/ideas-made-to-matter/sec-commissioner-hester-peirce-not-a-fan-interventionist-approaches
24,https://mitsloan.mit.edu/ideas-made-to-matter/topics/artificial-intelligence
25,https://mitsloan.mit.edu/ideas-made-to-matter/sara-brown
26,https://mitsloan.mit.edu/ideas-made-to-matter/new-book-explores-how-ai-really-changes-way-we-work
27,https://mitsloan.mit.edu/ideas-made-to-matter/3-requirements-successful-artificial-intelligence-programs
