,links
0,https://futureoflife.org/cause-area/artificial-intelligence/
1,https://futureoflife.org/open-letter/ai-principles/
2,https://openai.com/blog/planning-for-agi-and-beyond
3,https://futureoflife.org/ai/faqs-about-flis-open-letter-calling-for-a-pause-on-giant-ai-experiments/
4,https://arxiv.org/abs/2209.10604
5,https://arxiv.org/abs/2206.13353
6,https://arxiv.org/abs/2303.10130
7,https://arxiv.org/abs/2206.05862
8,https://arxiv.org/abs/2209.00626
9,https://arxiv.org/abs/2112.04359
10,https://abcnews.go.com/Technology/openai-ceo-sam-altman-ai-reshape-society-acknowledges/story?id=97897122
11,https://time.com/6246119/demis-hassabis-deepmind-interview/
12,https://arxiv.org/abs/2303.12712
13,https://futureoflife.org/cause-area/artificial-intelligence/
14,https://www.pwc.com/gx/en/issues/workforce/hopes-and-fears-2022.html
15,https://www.technologyreview.com/2023/02/08/1068068/chatgpt-is-everywhere-heres-where-it-came-from/
16,https://www.nytimes.com/2023/02/03/technology/chatgpt-openai-artificial-intelligence.html
17,https://journals.sagepub.com/doi/full/10.1177/23780231221131377
18,https://news.byu.edu/intellect/robots-are-taking-over-jobs-but-not-at-the-rate-you-might-think-says-byu-research
19,https://www.bbc.com/worklife/work-in-progress
